Job Title,Company Name,Location,Job Type,Category,Salary,Post Date,Deadline,Job URL,Company Logo URL,Location Clean,Min Salary,Max Salary,Average Salary
Sənədləşmə üzrə mütəxəssis,Global Group MMC,"Bakı, Gənclik m.",Tam-ştat,Ofis menecmenti,600 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/senedlesme-uzre-mutexessis-1074648,Unknown,Bakı,600.0,600.0,600.0
Xadimə,BAKU PILATES MMC,"Bakı, Nəsimi rayonu Abbas Səhhət 67C",Tam-ştat,Xadimə,450 - 500 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/xadime-1075463,Unknown,Bakı,450.0,500.0,475.0
Satış məsləhətçisi,Bonamed,"Bakı, Bakıxanov küçəsi 18",Tam-ştat,Satış üzrə mütəxəssis,600 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/satis-meslehetcisi-1075464,Unknown,Bakı,600.0,600.0,600.0
Resepşn,BAKU PILATES MMC,"Bakı, Nəsimi rayonu Abbas Səhhət 67C",Tam-ştat,Katibə / Resepşn,450 - 500 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/resepsn-1075669,Unknown,Bakı,450.0,500.0,475.0
Məlumat mərkəzi üzrə kiçik mütəxəssis,ABB,Bakı,Tam-ştat,Operator,Razılaşma ilə,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/melumat-merkezi-uzre-kicik-mutexessis-3801,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Texnologiya və arxitektura sahəsinə back-end üzrə baş proqramçı,ABB,Bakı,Tam-ştat,Proqramlaşdırma,Razılaşma ilə,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/texnologiya-ve-arxitektura-sahesine-back-end-uzre-bas-proqramci-3800,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Mobiloqraf,Pakhlava Boutique,"Bakı, NizamiⓂ️:Murtuza Muxtarov 188",Tam-ştat,Digər,600 AZN,22 aprel 2025,22 may 2025,https://www.hellojob.az/vakansiya/mobiloqraf-1052082,https://www.hellojob.az/resized/companies/b49b3dda3007f8b16c6c585c23af763c-120--resize.webp,Bakı,600.0,600.0,600.0
Mobiloqraf/Reelsmaker,British Academy,Bakı,Yarım-ştat,Digər,250 - 300 AZN,22 aprel 2025,22 may 2025,https://www.hellojob.az/vakansiya/mobiloqrafreelsmaker,Unknown,Bakı,250.0,300.0,275.0
React developer,Nanolink MMC,"Bakı, Çinar park",Tam-ştat,Proqramlaşdırma,Razılaşma ilə,22 aprel 2025,22 may 2025,https://www.hellojob.az/vakansiya/react-developer-1049445,https://www.hellojob.az/resized/companies/S8vq01oSQ58hVEACJLqxadjIcbxYyf7yaDmDSsHs-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Usta üçün köməkçilər,Ak Vent GROUP MMC,"Bakı, Binəqədi rayonu, Azadlıq metrosunun yaxınlığı, 7 MKR, keçid 1260",Tam-ştat,Tikinti,600 - 1500 AZN,21 aprel 2025,22 may 2025,https://www.hellojob.az/vakansiya/usta-ucun-komekciler,https://www.hellojob.az/resized/companies/e8bc2a30695c017e80e91e39166d385d-120--resize.webp,Bakı,600.0,1500.0,1050.0
Gömrük işləri üzrə mütəxəssis,FCC MMC,"Bakı, Nərimanov r , Kral  Hüseyn 64B",Tam-ştat,Digər,600 AZN,22 aprel 2025,22 may 2025,https://www.hellojob.az/vakansiya/gomruk-isleri-uzre-mutexessis-1045179,https://www.hellojob.az/resized/companies/ba4ee53492ac79a33b59ef96dbb643f4-120--resize.webp,Bakı,600.0,600.0,600.0
